theme,seed,keyword,volume,kd,cpc,intent,is_question,parent_topic,opportunity_score,seasonality_coef,peak_month,is_seasonal
independance_financiere,retraite anticipée,retraite anticipée 50 ans,1900,30,0.8,informational,False,FIRE,61.29,1.11,1,False
independance_financiere,rente passive,rente passive,1300,22,0.6,informational,False,FIRE,56.52,1.09,1,False
independance_financiere,FIRE,4% rule retraite,1300,28,0.6,informational,False,Fire,44.83,1.07,4,False
independance_financiere,FIRE,méthode FIRE france,880,26,0.7,informational,False,Fire,32.59,1.04,11,False
independance_financiere,FIRE,combien pour être indépendant financièrement,720,24,0.5,informational,True,Fire,28.8,1.03,1,False
independance_financiere,retraite anticipée,fire retraite anticipée,720,25,0.5,informational,False,FIRE,27.69,1.11,2,False
independance_financiere,FIRE,lean fire vs fat fire,480,22,0.5,commercial,False,Fire,27.13,1.04,2,False
lmnp,LMNP 2026,simulateur lmnp 2026,5400,30,1.5,transactional,False,LMNP,261.29,1.07,4,False
lmnp,LMNP,lmnp définition,4400,22,0.6,informational,False,LMNP,191.3,1.05,1,False
lmnp,LMNP,expert comptable lmnp,3600,28,4.2,transactional,False,LMNP,186.21,1.1,8,False
lmnp,LMNP,simulateur impôts lmnp,2900,28,1.1,transactional,False,Lmnp,150.0,1.09,11,False
lmnp,LMNP,lmnp réel ou micro bic,2900,22,0.7,informational,False,LMNP,126.09,1.12,6,False
lmnp,déclaration LMNP,lmnp avantages,2400,22,0.5,informational,False,Déclaration Lmnp,104.35,1.07,2,False
lmnp,LMNP,amortissement lmnp,2400,25,0.6,informational,False,LMNP,92.31,1.1,5,False
lmnp,LMNP,déclaration lmnp 2026,1100,18,0.9,transactional,False,LMNP,86.84,3.29,5,True
lmnp,LMNP,pinel ou lmnp,1900,28,1.2,commercial,False,LMNP,85.17,1.08,1,False
lmnp,déclaration LMNP,lmnp et impôt sur le revenu,1900,26,0.6,informational,False,Déclaration Lmnp,70.37,1.07,7,False
lmnp,LMNP 2026,lmnp 2026,1900,28,0.8,informational,False,LMNP,65.52,1.05,12,False
lmnp,LMNP,simulateur lmnp gratuit,1100,26,1.2,transactional,False,LMNP,61.11,1.06,2,False
lmnp,LMNP,comment passer en lmnp,1300,22,0.6,informational,True,Lmnp,56.52,1.05,3,False
lmnp,LMNP,lmnp plafond 23000 euros,880,18,0.4,informational,False,Lmnp,46.32,1.13,11,False
lmnp,LMNP,lmnp ou lmp,720,22,0.5,commercial,False,LMNP,40.7,1.06,5,False
lmnp,LMNP,réforme lmnp 2026,880,24,0.7,informational,False,LMNP,35.2,1.06,8,False
lmnp,LMNP,lmnp tva,720,24,0.7,informational,False,Lmnp,28.8,1.06,1,False
lmnp,LMNP 2026,lmnp recettes 2026,590,20,0.5,informational,False,Lmnp 2026,28.1,3.41,5,True
viager_vente_a_terme,calcul viager,calcul viager occupé,2900,26,0.4,informational,False,Viager,107.41,1.06,1,False
viager_vente_a_terme,viager libre,rente viagère imposable,1900,26,0.5,informational,False,Viager Libre,70.37,1.06,3,False
viager_vente_a_terme,viager,viager libre vs occupé,880,18,0.4,commercial,False,Viager,60.21,1.11,9,False
viager_vente_a_terme,viager occupé,viager avantages inconvénients,1300,24,0.6,informational,False,Viager Occupé,52.0,1.04,1,False
viager_vente_a_terme,viager,achat viager fiscalité,1300,24,0.6,informational,False,Viager,52.0,1.1,11,False
viager_vente_a_terme,fiscalité viager,fiscalité viager,1300,28,0.5,informational,False,Viager,44.83,1.15,4,False
viager_vente_a_terme,vente à terme,vente à terme immobilier,880,22,0.6,informational,False,Vente à terme,38.26,1.09,2,False
viager_vente_a_terme,viager,acheter en viager risques,720,22,0.4,informational,False,Viager,31.3,1.11,12,False
viager_vente_a_terme,viager,viager sans bouquet,590,20,0.5,informational,False,Viager,28.1,1.08,10,False
viager_vente_a_terme,viager,bouquet viager calcul,590,20,0.4,informational,False,Viager,28.1,1.12,3,False
